distribuicao,N,estrutura,tempo_insercao_ms,tempo_busca_ms,rotacoes,comparacoes
aleatorio,1000,Splay,0.292377,0.268852,24570,25570
aleatorio,1000,Treap,0.212635,0.078339,2099,23413
aleatorio,5000,Splay,1.5617,1.66501,156476,161476
aleatorio,5000,Treap,0.837344,0.452792,10089,143912
aleatorio,10000,Splay,4.05083,4.85929,341911,351914
aleatorio,10000,Treap,3.07359,1.28139,19859,313617
aleatorio,25000,Splay,14.5573,13.2731,952235,977270
aleatorio,25000,Treap,6.63338,5.517,50012,942468
aleatorio,50000,Splay,37.4404,30.0651,2048970,2099103
aleatorio,50000,Treap,14.9504,12.4749,100460,1895940
ordenado,1000,Splay,0.029626,0.028334,5373,6373
ordenado,1000,Treap,0.091875,0.044404,995,18647
ordenado,5000,Splay,0.247752,0.264764,27027,32027
ordenado,5000,Treap,0.345849,0.2312,4994,111430
ordenado,10000,Splay,0.264303,0.305442,54111,64111
ordenado,10000,Treap,0.685265,0.524228,9989,249526
ordenado,25000,Splay,1.04586,1.58589,135309,160309
ordenado,25000,Treap,1.79221,1.40654,24984,715014
ordenado,50000,Splay,1.4334,2.38685,270687,320687
ordenado,50000,Treap,3.54638,3.85717,49983,1467038
