tipo_dado,N,estrutura,tempo_insercao_ms,tempo_busca_ms,total_nos,memoria_estimada_kb,comparacoes
aleatorio,1000,Trie,3.58997,0.448398,6918,864.75,16806
aleatorio,1000,Patricia,0.673378,0.09756,1340,209.375,6437
aleatorio,5000,Trie,14.8513,2.81325,32454,4056.75,84828
aleatorio,5000,Patricia,7.69837,0.717797,6282,981.562,39805
aleatorio,10000,Trie,25.6211,7.05611,63365,7920.62,170350
aleatorio,10000,Patricia,15.987,1.98185,12748,1991.88,85240
aleatorio,25000,Trie,75.9554,16.0665,151380,18922.5,426000
aleatorio,25000,Patricia,58.5015,7.13131,33534,5239.69,234328
aleatorio,50000,Trie,139.094,22.503,290298,36287.2,851322
aleatorio,50000,Patricia,63.8455,18.55,66688,10420,505167
prefixo_denso,1000,Trie,0.68605,0.10305,5219,652.375,22000
prefixo_denso,1000,Patricia,0.270681,0.119529,1317,205.781,12211
prefixo_denso,5000,Trie,4.42647,0.85248,23797,2974.62,110000
prefixo_denso,5000,Patricia,1.28745,0.851742,6454,1008.44,67669
prefixo_denso,10000,Trie,10.7267,4.78024,45254,5656.75,220000
prefixo_denso,10000,Patricia,3.25093,3.26311,13400,2093.75,142140
prefixo_denso,25000,Trie,21.4137,7.76696,105136,13142,550000
prefixo_denso,25000,Patricia,23.3319,5.70794,32850,5132.81,379424
prefixo_denso,50000,Trie,73.8584,20.1925,200218,25027.2,1100000
prefixo_denso,50000,Patricia,53.3188,17.8628,62997,9843.28,788748
